"id","sno","title","keywords","rating","href"
622,"622","Red Dragon","Serial Killer, Cannibalism","R","https://www.the-numbers.com/movie/Red-Dragon#tab=summary"
696,"696","The Majestic","","PG for language and mile thematic elements","https://www.the-numbers.com/movie/Majestic-The#tab=summary"
734,"734","The Dilemma","Relationships Gone Wrong, Relationship Advice","PG-13 for mature thematic elements involving sexual content.(Rating bulletin 2148, 11/24/2010)","https://www.the-numbers.com/movie/Dilemma-The#tab=summary"
865,"865","Daddy Day Care","Babysitters","PG for language","https://www.the-numbers.com/movie/Daddy-Day-Care#tab=summary"
534,"534","RED 2","Hitmen, Terrorism, Out of Retirement, Love Triangle, Intertitle, Martial Arts, Cold War","PG-13 for pervasive action and violence including frenetic gunplay, and for some language and drug material.(Rating bulletin 2275, 6/5/2013)","https://www.the-numbers.com/movie/RED-2#tab=summary"
1137,"1,137","Curious George","","G","https://www.the-numbers.com/movie/Curious-George#tab=summary"
1177,"1,177","Defiance","World War II, Collaborator","R for violence and language","https://www.the-numbers.com/movie/Defiance#tab=summary"
535,"535","Click","Time Travel","PG-13 for language, crude and sex-related humor, and some drug references.","https://www.the-numbers.com/movie/Click#tab=summary"
536,"536","Charlotte's Web","Talking Animals","G","https://www.the-numbers.com/movie/Charlottes-Web#tab=summary"
676,"676","Soldier","","R for strong violence and brief language","https://www.the-numbers.com/movie/Soldier#tab=summary"
1470,"1,470","Ri¢hie Ri¢h","","PG for mild violence and language","https://www.the-numbers.com/movie/Richie-Rich#tab=summary"
537,"537","Jumper","Mutants, Visual Effects","PG-13 for sequences of intense action violence, some language and brief sexuality","https://www.the-numbers.com/movie/Jumper#tab=summary"
1914,"1,914","Atonement","Coming of Age","R for disturbing war images, language and some sexuality","https://www.the-numbers.com/movie/Atonement#tab=summary"
1957,"1,957","Bulworth","Political","R for pervasive strong language and some drug content","https://www.the-numbers.com/movie/Bulworth#tab=summary"
2010,"2,010","Gloria","Mafia","R for violence and language","https://www.the-numbers.com/movie/Gloria#tab=summary"
2043,"2,043","Frost/Nixon","","R for some language","https://www.the-numbers.com/movie/Frost-Nixon#tab=summary"
2106,"2,106","A Passage to India","","","https://www.the-numbers.com/movie/Passage-to-India-A#tab=summary"
2229,"2,229","There Will Be Blood","Dysfunctional Family, Deaf, Religious","R for some violence","https://www.the-numbers.com/movie/There-Will-Be-Blood#tab=summary"
2361,"2,361","The Fisher King","","R for language and violence.","https://www.the-numbers.com/movie/Fisher-King-The#tab=summary"
2520,"2,520","Wayne's World","Rock 'n' Roll","PG-13 for sex related dialogue","https://www.the-numbers.com/movie/Waynes-World#tab=summary"
1980,"1,980","Fled","Mafia","R for strong sexuality, language and some violence","https://www.the-numbers.com/movie/Fled#tab=summary"
2722,"2,722","The Game of Their Lives","Soccer","PG for some mild language and thematic elements","https://www.the-numbers.com/movie/Game-of-Their-Lives-The#tab=summary"
2766,"2,766","Thomas and the Magic Railroad","","G","https://www.the-numbers.com/movie/Thomas-and-the-Magic-Railroad#tab=summary"
2981,"2,981","Radio Days","","","https://www.the-numbers.com/movie/Radio-Days#tab=summary"
3351,"3,351","Glengarry Glen Ross","","R for language.","https://www.the-numbers.com/movie/Glengarry-Glen-Ross#tab=summary"
538,"538","Hellboy II: The Golden Army","Demons, Good vs. Evil, Dark Horse Comics","PG-13 for sequences of sci-fi action and violence, and some language.","https://www.the-numbers.com/movie/Hellboy-2-The-Golden-Army#tab=summary"
2944,"2,944","My Girl","","PG-13","https://www.the-numbers.com/movie/My-Girl#tab=summary"
3806,"3,806","Zarafa","","","https://www.the-numbers.com/movie/Zarafa#tab=summary"
1041,"1,041","Instinct","","R for some intense violent behavior","https://www.the-numbers.com/movie/Instinct#tab=summary"
539,"539","The Longest Yard","Football, Prison","PG-13 for crude and sexual humor, violence, language and drug references.","https://www.the-numbers.com/movie/Longest-Yard-The-(2005)#tab=summary"
487,"487","Army of the Dead","","","https://www.the-numbers.com/movie/Army-of-the-Dead-(TBA-ID)#tab=summary"
4150,"4,150","Good Bye, Lenin!","","R for brief language and sexuality.","https://www.the-numbers.com/movie/Good-Bye-Lenin#tab=summary"
4233,"4,233","Lake of Fire","","Not Rated","https://www.the-numbers.com/movie/Lake-of-Fire#tab=summary"
4393,"4,393","Jekyll and Hyde... Together Again","","","https://www.the-numbers.com/movie/Jekyll-and-Hyde-Together-Again#tab=summary"
4532,"4,532","Leaving Las Vegas","Mafia","R for strong sexuality and language, violence and pervasive alcohol abuse","https://www.the-numbers.com/movie/Leaving-Las-Vegas#tab=summary"
